127.0.0.1 - - [14/Apr/2016:18:16:12 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:16:27 -0700] "GET /TaaSMobileApp/ HTTP/1.1" 200 4157
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:16:33 -0700] "GET /TaaSMobileApp/css/styles1.css HTTP/1.1" 200 2628
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:16:34 -0700] "GET /TaaSMobileApp/images/image6.jpg HTTP/1.1" 200 93422
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:16:34 -0700] "GET /TaaSMobileApp/images/image2.jpg HTTP/1.1" 200 265476
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:16:34 -0700] "GET /TaaSMobileApp/images/image4.jpg HTTP/1.1" 200 61933
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:16:34 -0700] "GET /TaaSMobileApp/images/image11.jpg HTTP/1.1" 200 64945
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:16:39 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:16:39 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:18:29 -0700] "GET /TaaSMobileApp/Home.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/index.html HTTP/1.1" 200 9298
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/css/form-elements.css HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/css/style.css HTTP/1.1" 200 5343
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/js/scripts.js HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/js/retina-1.1.0.min.js HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 23739
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/js/jquery.backstretch.min.js HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/ico/favicon.png HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:46 -0700] "GET /TaaSMobileApp/Form/html/assets/img/logo.png HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [14/Apr/2016:18:19:47 -0700] "GET /TaaSMobileApp/Form/html/assets/img/backgrounds/1.jpg HTTP/1.1" 200 2262035
